Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2021,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Other Ethnicities,Latin American/Hispanic,Formal Warning,-62,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-45,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2019,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-87,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2017,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2017,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2014,1,10-14,10 - 14 years inclusive,"Child abuse material offences, nfd",3,340,34,European,European,"Non-Court Action, N.E.C.",,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2017,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,"Non-Court Action, N.E.C.",,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2025,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-7,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2022,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-43,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2022,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-43,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2025,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-7,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-54,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2025,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-6,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2025,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-6,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2025,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-6,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2025,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-6,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2022,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-53,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2019,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-81,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2018,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-92,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2019,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-79,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2022,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-53,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2022,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-46,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.E.C.",-24,Non-Court Action,Community Justice Panel,"Non-Court Action, N.E.C.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2015,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2017,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-83,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-83,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2019,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-82,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2025,1,75-79,75 - 79 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-10,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2022,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-42,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-54,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2021,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-65,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2021,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-65,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2016,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,2,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-91,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-85,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2019,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-84,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2018,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-94,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2020,2,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-67,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2021,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-54,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2022,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-53,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2023,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-40,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2026,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-4,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2026,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-3,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2026,2,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Court Action,-3,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2026,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Court Action,-2,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Non-Court Referred Conference,-38,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Non-Court Referred Conference,-20,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Non-Court Referred Conference,-32,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Non-Court Referred Conference,-17,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Non-Court Referred Conference,-15,Non-Court Action,FGC - 247(B) Police Referred,Non-Court Referred Conference,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Non-Court Referred Conference,-37,Non-Court Action,FGC - 14(1e) Child Offending,Non-Court Referred Conference,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Not Proceeded With,-24,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-26,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Female,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Not Proceeded With,-32,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Not Proceeded With,-37,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-36,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-28,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Not Proceeded With,-22,Not Proceeded With,No Further Action,Not Proceeded With,1,Person,Not Stated,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2018,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Indian,Indian,Court Action,-94,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2016,1,5-9,5 - 9 years inclusive,"Child abuse material offences, nfd",3,340,34,European,European,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2016,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2016,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2016,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2019,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Informal Warning,-83,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2019,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Informal Warning,-82,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Informal Warning,-91,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Informal Warning,-91,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2016,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,6
