rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
28,0.00019549413819273907,0.0011260617457083037,0.00021102063214729498,0.0011278030364940954,0.00037701822799840495,0.0021728989250801717,0.0004274765665370955,0.002087561900926908,0.00024014117989296324,0.001325972733597367
29,0.0002025104340676437,0.0011530796392025845,0.00021787522183843716,0.0011379598293275062,0.0003814350175241388,0.002249928290247945,0.0004539172723115526,0.0021708605247990624,0.0002793676109833825,0.001329295669875865
30,0.00021780762526785467,0.0011544270809282769,0.00026382733891328416,0.0011438426187145169,0.00039125808852287443,0.002316483160101492,0.00047369500111145625,0.002225905976604507,0.0002796456855653967,0.0013458152119342269
31,0.0002216758433882256,0.0011937013656465934,0.00027457582210409177,0.001147890753598621,0.000400811318048988,0.0023335639596454402,0.0005090837963102792,0.0022301141641517365,0.0002898563327086929,0.0014326803153199305
32,0.00022182786157941438,0.0011970537766313517,0.0002777430720498934,0.0011547352909253754,0.0004508157999927323,0.0023351492878160946,0.0005252064485314986,0.002246432458347891,0.0003043567399165978,0.0014457952673010953
33,0.0002515304463221043,0.0011979182024592337,0.00030929836714983094,0.0011735509714882234,0.00045455312012598485,0.002350392035767116,0.000543779927693836,0.00233428292903919,0.00033150362642437936,0.0014573612515754902
34,0.0002657768313029772,0.001229747084452368,0.00031825120960323025,0.0011789216431226362,0.0004561087075235789,0.002359445556544416,0.0005507639573127576,0.002361748986392793,0.0003358384925074165,0.0015556045178149243
35,0.0002682880535817306,0.0012332469658740486,0.0003223570634623568,0.0011791834559825313,0.0005488474204171241,0.002402016275261875,0.0005969705081042264,0.0024100066925208203,0.00033783790123704686,0.0015791224895884623
36,0.00027118842719792537,0.0012676170926717981,0.00033654521694142,0.0012118986171101367,0.000552343737844548,0.002438549201497725,0.0006015859645721214,0.0024712805646130063,0.00037577586178480347,0.0016538188633769015
37,0.00027642161892064423,0.001275804229179847,0.000337904581217977,0.00125220230400263,0.0005958964543760266,0.0024461065432336334,0.0006092711139255297,0.002491290241259618,0.00038182512409316535,0.0017992173061748714
38,0.00027836761721597306,0.001293824650416666,0.00035789089730322194,0.0012876520396893376,0.0006135874568782329,0.0024469894235274645,0.000688334717587724,0.0025218584788447348,0.0004110075890234325,0.0018003498926005771
39,0.0002891421091322732,0.001303454372882265,0.0003758497520718165,0.001295520850032752,0.0006354421656286571,0.002452381716072278,0.0006950866508131801,0.002541415929027021,0.00042364080238273234,0.0018366095346517438
40,0.00030428068680672757,0.0013095847111836306,0.0003792665508880939,0.0013110845082684212,0.000660921884215922,0.002458121828583891,0.0007564296520423601,0.002615164240413348,0.00044489098960811033,0.0018430411815041298
41,0.00031989417819083745,0.00132832988399203,0.0003864773022482722,0.0013214911020464726,0.0006842144987841656,0.0024718157225453075,0.0007624322461637158,0.002634747233565872,0.0004577359856719066,0.0018607153889101894
42,0.0003451449608835711,0.0013323054872871297,0.0003937560524069597,0.0013517186662062987,0.0006969855375500958,0.002489023615728527,0.0008081216223041567,0.0026654064816922594,0.0004705995095497475,0.0019255296346611548
43,0.00036002547872618677,0.001334110311739817,0.0004049400275391325,0.0013534092511388511,0.0007192662742715576,0.0025226095047928498,0.0008317822572947738,0.002722385063858944,0.0004867015266827121,0.0019756602411523205
44,0.0003740195096033296,0.0013376349617417046,0.0004354062083802889,0.001354294601658008,0.0007400943400679332,0.002525295111811027,0.000891333575608567,0.0028338191345373474,0.00050977591387648,0.001995650043333123
45,0.00040386529593783196,0.0013684238560427932,0.0004464285714285714,0.0013785817648520949,0.0008512769078747681,0.002548136870726484,0.0009251180125467532,0.002884362910164606,0.0005164911312925827,0.0020000648909942412
46,0.00041326138148908256,0.0013785292738471816,0.0005512679162072767,0.0013988639430696527,0.000872599320659086,0.002584846546225266,0.001016932058853192,0.0029150402254872238,0.0005217148818696341,0.0020231234488398584
47,0.00043044077134986227,0.0014064326488686264,0.0005603712818954918,0.0014112682282165533,0.0008921203558400818,0.0026042905907500712,0.0010691424674687802,0.002917406578715367,0.0005360173907864566,0.0020312208745124514
48,0.000437115252183394,0.001409509716364522,0.0005615684860083584,0.0014189200479190868,0.0009787957694109858,0.0027083527407369716,0.00107592959898018,0.0029495519464154394,0.0005951977977256767,0.0020696907173670233
49,0.00044120671800013686,0.0014198160315971539,0.0005963615870262812,0.0014880798701275317,0.0010038066487380217,0.00280858553391211,0.0010864580361041112,0.002950894984069747,0.0006203899345006117,0.002088697880587031
50,0.0004607004615055691,0.0014210724673686236,0.0006068207289567391,0.0015340806207012917,0.0010053497892690232,0.0029417901392697326,0.0011265267401873592,0.0029592180299236126,0.0006862554358570179,0.0021001961336106893
